3790	"Сведения по используемым спутниковым ПРМ на сети АО ""Казтелерадио""  "																
																	
	Наименование ОДРТ, ДРТ	Наименование района	Наименование РТС	 № ТВК, мгц 	Программа	Стандарт вещания	Тип приемника 	серийный , номер   .	U/A, электронный номер 	S/N, серийный номер.	Назначение 	Принадлежность ПРМ	Основная спутниковая антенна, тип антенны, размер м.	Наличие резервной спутниковой антенны, тип антенны, размер м.	Примечание 	Прием с KasSat 2	Примечание
	В-Казахстанская  	Аягузский	Жорга	28	Хабар	DigiCipher-II	DSR 402		000-03086-23649-053	7074-7407-2016-003	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Абайский 	Кундузды(Журекадыр)	9	Казахстан	DigiCipher-II	DSR 402		000-03086-20882-004	7074-7405-1001-563	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	В-Казахстанская  	Абайский 	Кундузды(Журекадыр)	6	Хабар	DigiCipher-II	DSR 402		000-03086-20886-197	7074-7405-1001-556	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Зайсанский	Зайсан	9	Евразия	DigiCipher-II	DSR-4400		000-03137-39859-090	2540-1719-1002-460	Основной 	"ПРМ АО ""Казтелерадио"""	жарык d 3,5 м	280к-AZ-2,8м,  Офс. 1,2 м			
	В-Казахстанская  	Зайсанский	Зайсан	103.2	КазРВ	DigiCipher-II	DSR401		000-03427-00142-252	6154-4133-3009-333	Основной 						
	В-Казахстанская  	Зайсанский	Зайсан	12	Хабар	DigiCipher-II	DSR205K		000-03454-59047-239	20194-7623-4014-656	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Зайсанский	Зайсан	6	24Kz	DigiCipher-II	DSR205K		000-03454-57825-190	20194-7623-5006-933	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Зайсанский	Зайсан	4	Казахстан	DigiCipher-II	DSR-4400		000-03137-39813-168	2540-1719-1001-883	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	В-Казахстанская  	Зайсанский	Зайсан		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	В-Казахстанская  	Зайсанский	Зайсан		1MUX	DVB S2	ProView 7100   				резерв						
	В-Казахстанская  	Семипалатинская ГА	Знаменка	23	Казахстан	DigiCipher-II	DSR205K		000-03454-57169-151	20194-7623-4019-262	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	В-Казахстанская  	Семипалатинская ГА	Знаменка	21	Хабар	DigiCipher-II	DSR205K		000-03454-66612-234	2019-4762-3401-9262	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Зыряновский  	Зубовка	26	Казахстан	DigiCipher-II	DSR205K		000-03454-60103-016	20104-1623-5000-504	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	В-Казахстанская  	Зыряновский  	Зубовка	28	Хабар	DigiCipher-II	DSR 402		000-03086-28462-120	7074-7504-7005-633	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Зыряновский	Зубовка	10	24Kz	DigiCipher-II	DSR 402		000-03086-26995-052	7074-7501-4000-036	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Зыряновский	Зубовка		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Зыряновский	Зыряновск	9	Евразия	DigiCipher-II	DSR 402		000-03086-23610-253	7074-7407-2016-065	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная ТНА d 1,6	нет			
	В-Казахстанская  	Зыряновский	Зыряновск	7	Казахстан	DigiCipher-II	DSR-4400		000-03137-99237-249	2540-7816-3002-369	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	В-Казахстанская  	Зыряновский	Зыряновск	103.3	Радио NS	DVB-S2	S2400ND		25880547762	KC7G5013585	Основной 	ПРМ ТРК					
	В-Казахстанская  	Зыряновский	Зыряновск	101.5	Тенгри FM	DVB-S2	Harmonic IRD 2961		448966	000001228261	резерв	ПРМ ТРК			Основной - прием со студии ч/з РРЛ		
	В-Казахстанская  	Зыряновский	Зыряновск	3	Хабар	DigiCipher-II	DSR205K		000-03454-59359-089	20194-7623-4014-052	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Зыряновский	Зыряновск	1	24Kz	DigiCipher-II	DSR205K		000-03454-56050-080	20194-7622-9025-117	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Зыряновский	Зыряновск	101.5	"""Ретро FM""(Европа+)"	DVB-S2					Основной 						
	В-Казахстанская  	Зыряновский	Зыряновск		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	В-Казахстанская  	Зыряновский	Зыряновск		1MUX	DVB S2	ProView 7100   				резерв						
	В-Казахстанская  	Бородулихинский	Ивановка (ВКО)	11	Казахстан	DigiCipher-II	DSR 402		000-03086-22847-089	7074-7405-1013-276	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	В-Казахстанская  	Бородулихинский	Ивановка (ВКО)	8	Хабар	DigiCipher-II	DSR205K		000-03454-53310-146	необходимо уточнить	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Бородулихинский	Ивановка (ВКО)		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Тарбагатайский 	Кабанбай (Тарбагатайский р-он) (Крупское)	3	Хабар	DigiCipher-II	DSR205K		000-03454-56895-105	20194-7623-4008-778	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."	нет			
	В-Казахстанская  	Тарбагатайский 	Кабанбай (Тарбагатайский р-он) (Крупское)	12	24Kz	DigiCipher-II	DSR205K		000-03454-57296-007	20194-7623-4014-540	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Тарбагатайский 	Кабанбай (Тарбагатайский р-он) (Крупское)		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Урджарский	Кабанбай(Урджарский р-он)	28	Казахстан	DigiCipher-II	DSR205K		000-03454-56058-167	20194-7622-9023-502	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	В-Казахстанская  	Урджарский	Кабанбай(Урджарский р-он)	26	Хабар	DigiCipher-II	DSR205K		000-03454-59509-148	20194-7623-5003-987	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Урджарский	Кабанбай(Урджарский р-он)		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Семипалатинская ГА	Кайнар	9	Евразия	DigiCipher-II	DSR205K		000-03454-57326-036	20194-7623-4013-864	Основной 	"ПРМ АО ""Казтелерадио"""	жарык d 3,5 м	нет			
	В-Казахстанская  	Семипалатинская ГА	Кайнар	7	Казахстан	DigiCipher-II	DSR205K		000-03454-57481-098	20194-7623-4013-963	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	В-Казахстанская  	Семипалатинская ГА	Кайнар	12	Хабар	DigiCipher-II	DSR205K		000-03454-59335-114	20194-7623-4016-254	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Курчумский 	Кайнарлы(Архиповка)	11	Казахстан	DigiCipher-II	DSR-4400		000-03137-99338-176	2540-7816-3004-448	Основной 	"ПРМ АО ""Казтелерадио"""	жарык d 3,5 м	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	В-Казахстанская  	Уланский	Каменка	21	Казахстан	DigiCipher-II	DSR205K		000-03454-56268-073	20194-7622-9025-544	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	В-Казахстанская  	Уланский	Каменка	12 эф	Хабар	DigiCipher-II	DSR205K		000-03454-53478-103	20194-7622-9002-989	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Уланский	Каменка		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	В-Казахстанская  	Уланский	Каменка		1MUX	DVB S2	ProView 7100   				резерв						
	В-Казахстанская  	Бескарагайский	Канонерка 	12	Евразия	DigiCipher-II	DSR205K		000-03454-59642-113	20194-7623-5012-576	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."	нет			
	В-Казахстанская  	Бескарагайский	Канонерка 	23	Казахстан	DigiCipher-II	DSR205K		000-03454-54473-181	20194-7622-9023-342	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	В-Казахстанская  	Бескарагайский	Канонерка 	26	Хабар	DigiCipher-II	DSR205K		000-03454-54474-131	20194-7622-9022-819	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Урджарский	Карабуйрат	24	Казахстан	DigiCipher-II	DSR 402		000-03086-29269-154	7074-7505-6002-142	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	В-Казахстанская  	Урджарский	Карабуйрат	22	Хабар	DigiCipher-II	DSR205K		000-03454-53465-223	20194-7622-9006-475	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Урджарский	Карабуйрат		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Урджарский	Каракол	33	Казахстан	DigiCipher-II	DSR 402		000-03086-20881-050	7074-7405-1001-570	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	В-Казахстанская  	Урджарский	Каракол	28	Хабар	DigiCipher-II	DSR 402		000-03086-20884-104	7074-7405-1001-587	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Урджарский	Каракол		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Тарбагатайский	КАРАСУ(Тарб.р-на)	10	Казахстан	DigiCipher-II	DSR205K		000-03454-58719-126	20194-7623-4001-878	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	В-Казахстанская  	Тарбагатайский	КАРАСУ(Тарб.р-на)	3	Хабар	DigiCipher-II	DSR205K		000-03454-56605-062	20194-7623-4003-797	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Курчумский 	Каратогай	10	Казахстан	DigiCipher-II	DSR205K		000-03454-59395-089	необходимо уточнить	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	В-Казахстанская  	Курчумский 	Каратогай	4	24Kz	DigiCipher-II	DSR205K		000-03454-55158-248	20194-7622-9005-836	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Курчумский 	Каратогай	8	Хабар	DigiCipher-II	DSR 402		000-03086-27035-129	7074-7504-6000-356	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Абайский 	Караул	1	Евразия	DigiCipher-II	DSR205K		000-03454-55210-218	20194-7622-9007-120	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет			
	В-Казахстанская  	Абайский 	Караул	4	24Kz	DigiCipher-II	DSR205K		000-03454-59491-202	20194-7623-5007-466	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Абайский 	Караул	8	Казахстан	DigiCipher-II	DSR205K		000-03454-54566-247	20194-7622-9029-252	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	В-Казахстанская  	Абайский	Караул	101	КазРВ	DigiCipher-II	DSR401		000-03427-00156-099	6154-4132-3004-898	Основной 						
	В-Казахстанская  	Абайский 	Караул	6	Хабар	DigiCipher-II	DSR205K		000-03454-56729-106	20194-7623-4006-996	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Семипалатинская ГА	Караулен	23	Казахстан	DigiCipher-II	DSR 402		000-03086-29156-074	7074-7505-6001-367	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	В-Казахстанская  	Семипалатинская ГА	Караулен	21	Хабар	DigiCipher-II	DSR 402		000-03086-26818-200	7074-7414-6004-172	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Курчумский 	Карой	3	Казахстан	DigiCipher-II	DSR-4400		000-03137-39917-222	2540-1719-3000-372	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."	нет	1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	В-Казахстанская  	Абайский 	Каска-Булак	11	Евразия	DigiCipher-II	DSR-4400		000-03137-99355-025	2540-7816-3004-905	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."	нет			
	В-Казахстанская  	Абайский 	Каска-Булак	5	24Kz	DigiCipher-II	DSR205K		000-03454-60047-202	20194-7623-5011-128	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Абайский 	Каска-Булак	2	Казахстан	DigiCipher-II	DSR-4400		000-03137-99240-186	2540-7816-4000-043	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
	В-Казахстанская  	Абайский 	Каска-Булак	23	Хабар	DigiCipher-II	DSR205K		000-03454-59688-038	необходимо уточнить	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Абайский 	Каска-Булак		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	В-Казахстанская  	Абайский 	Каска-Булак		1MUX	DVB S2	ProView 7100   				резерв						
	В-Казахстанская  	Шемонаихинский	Кенюхово	12	Евразия	DigiCipher-II	DSR-4400		000-03137-28813-222	2540-1718-8000-141	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."	нет			
	В-Казахстанская  	Шемонаихинский	Кенюхово	10	Хабар	DigiCipher-II	DSR-4400		000-03137-99022-136	2540-7816-3000-686	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Шемонаихинский	Кенюхово		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Тарбагатайский 	Киндыкты	23	Казахстан	DigiCipher-II	DSR 402		000-03086-22420-015	7074-7405-1021-486	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет			
	В-Казахстанская  	Тарбагатайский 	Киндыкты	21	Хабар	DigiCipher-II	DSR 402		000-03086-23550-244	7074-7405-4005-193	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Абайский 	Кокбай(Кызылтас)	5	Евразия	DigiCipher-II	DSR-4400		000-03137-99429-039	2540-7816-3004-721	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."	нет			
	В-Казахстанская  	Абайский 	Кокбай(Кызылтас)	10	Казахстан	DigiCipher-II	DSR-4400		000-03137-99282-088	2540-7816-3003-489	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Абайский 	Кокбай(Кызылтас)	7	Хабар	DigiCipher-II	DSR-4400		000-03137-99343-234	2540-7816-3004-806	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Тарбагатайский	Кокжира	26	Казахстан	DigiCipher-II	DSR205K		000-03454-56148-105	20194-7622-9027-272	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет			
	В-Казахстанская  	Тарбагатайский	Кокжира	28	Хабар	DigiCipher-II	DSR-4400		000-03137-28953-038	2540-1718-8001-544	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Тарбагатайский	Кокжира		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Кокпектинский	Кокпекты	4	Евразия	DigiCipher-II	DSR205K		000-03454-57203-094	20194-7623-4015-455	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."	Жарык - d 5м		да	
	В-Казахстанская  	Кокпектинский	Кокпекты	10	Казахстан	DigiCipher-II	DSR205K		000-03454-57258-038	20194-7623-4015-752	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	В-Казахстанская  	Кокпектинский	Кокпекты	102.2	КазРВ	DigiCipher-II	DSR401		000-03427-02268-016	6154-4133-4009-929	Основной 					да	
	В-Казахстанская  	Кокпектинский	Кокпекты	7	Хабар	DigiCipher-II	DSR-4400		000-03137-28886-011	2540-1718-8000-608	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	В-Казахстанская  	Кокпектинский	Кокпекты	32	24Kz	DigiCipher-II	DSR205K		000-03454-57358-136	2019476234019811	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	В-Казахстанская  	Кокпектинский	Кокпекты		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	В-Казахстанская  	Кокпектинский	Кокпекты		1MUX	DVB S2	ProView 7100   				резерв						
	В-Казахстанская  	Бескарагайский	Конечная(Курчатов)	9	Евразия	DigiCipher-II	DSR-4400		000-03137-39719-152	2540-1719-1000-916	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная ТНА d 1,6	нет			
	В-Казахстанская  	Бескарагайский	Конечная(Курчатов)	6	Казахстан	DigiCipher-II	DSR-4400		000-03137-99330-169	2540-7816-3003-724	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Бескарагайский	Конечная(Курчатов)	2	Хабар	DigiCipher-II	DSR-4400		000-03137-99347-000	2540-7816-3003-700	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Бескарагайский	Конечная(Курчатов)	12	24Kz	DigiCipher-II	DSR205K		000-03454-55149-229	20194-7622-9000-503	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Катон-Карагайский	КОРОБИХА	12	Казахстан	DigiCipher-II	DSR205K		000-03454-56607-147	20194-7623-4006-446	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."	нет			
	В-Казахстанская  	Катон-Карагайский	КОРОБИХА	10	Хабар	DigiCipher-II	DSR205K		000-03454-58660-022	20194-7623-4005-920	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Катон-Карагайский	КОРОБИХА		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Бородулихинский	Коростели	9	Казахстан	DigiCipher-II	DSR205K		000-03454-59268-135	20194-7623-4018-470	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет			
	В-Казахстанская  	Бородулихинский	Коростели	12	Хабар	DigiCipher-II	DSR 402		000-03086-21215-146	7074-7405-1007-282	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Бородулихинский	Коростели		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Аягузский	Корык	5	Казахстан	DigiCipher-II	DSR205K		000-03454-56741-228	20194-7623-4001-045	Основной 	"ПРМ АО ""Казтелерадио"""	280к-AZ-d 2,8м	нет			
	В-Казахстанская  	Аягузский	Корык	9	Хабар	DigiCipher-II	DSR 402		000-03086-2102-1225	7074-7405-1003-864	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Бескарагайский	Коянбай	3	Казахстан	DigiCipher-II	DSR-4400		000-03137-28601-151	2540-1718-3000-207	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет			
	В-Казахстанская  	Бескарагайский	Коянбай	5	24Kz	DigiCipher-II	DSR205K		000-03454-59558-088	20194-7623-4015-691	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Бескарагайский	Коянбай	9	Хабар	DigiCipher-II	DSR205K		000-03454-59956-174	20194-7623-5007-107	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Бескарагайский	Коянбай		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Курчумский 	Курчум(Куйган)	5	Евразия	DigiCipher-II	DSR-4400		000-03137-28610-238	2540-1719-1002-200	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная ТНА d 1,6	нет		да	
	В-Казахстанская  	Курчумский 	Курчум(Куйган)	35	24Kz	DigiCipher-II	DSR 402		000-03086-23644-032	7074-7407-2016-157	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	В-Казахстанская  	Курчумский 	Курчум(Куйган)	3	Казахстан	DigiCipher-II	DSR-4400		000-03137-39279-084	2540-1719-2000-120	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	В-Казахстанская  	Курчумский	Курчум(Куйган)	101	КазРВ	DigiCipher-II	DSR401		000-03427-02272-086	6154-4133-4009-844	Основной 					да	
	В-Казахстанская  	Курчумский 	Курчум(Куйган)	11	Хабар	DigiCipher-II	DSR-4400		000-03137-97387-025	2540-7814-9000-129	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	В-Казахстанская  	Курчумский 	Курчум(Куйган)		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	В-Казахстанская  	Курчумский 	Курчум(Куйган)		1MUX	DVB S2	ProView 7100   				резерв						
	В-Казахстанская  	Жарминский	Кызыл-Агаш (Михайловка)	2	24Kz	DigiCipher-II	DSR205K		000-03454-59485-233	20194-7623-4017-831	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."	нет			
	В-Казахстанская  	Жарминский	Кызыл-Агаш (Михайловка)	7	Казахстан	DigiCipher-II	DSR205K		000-03454-56745-060	20194-7623-4002-394	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Жарминский	Кызыл-Агаш (Михайловка)	4	Хабар	DigiCipher-II	DSR205K		000-03454-58166-165	20194-7623-5003-468	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Жарминский	Кызыл-Агаш (Михайловка)		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	В-Казахстанская  	Жарминский	Кызыл-Агаш (Михайловка)		1MUX	DVB S2	ProView 7100   				резерв						
	В-Казахстанская  	Тарбагатайский 	Кызыл-Кесек	21	Хабар	DigiCipher-II	DSR205K		000-03454-57150-228	20194-7623-4015-127	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет			
	В-Казахстанская  	Тарбагатайский 	Кызыл-Кесек	23	Казахстан	DigiCipher-II	DSR205K		000-03454-57295-219	20194-7623-4016-773	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Тарбагатайский 	Кызыл-Кесек		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Курчумский	КЫСТАУКУРЧУМ	10	Казахстан	DigiCipher-II	DSR205K		000-03454-60009-010	20194-7623-5003-208	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет			
	В-Казахстанская  	Курчумский	КЫСТАУКУРЧУМ	8	Хабар	DigiCipher-II	DSR205K		000-03454-54477-116	20194-7622-9019-307	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Курчумский	КЫСТАУКУРЧУМ		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Урджарский	Лайбулак	23	Казахстан	DigiCipher-II	DSR 402		000-03086-23786-017	07074-7413-9018-032	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет			
	В-Казахстанская  	Урджарский	Лайбулак	21	Хабар	DigiCipher-II	DSR 402		000-03086-26820-164	7074-7414-6004-257	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Урджарский	Лайбулак		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Урджарский	Маканчи	8	Евразия	DigiCipher-II	DSR205K		000-03454-59632-197	20194-7623-5010-275	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."	офсетная  d-1,2м.		да	
	В-Казахстанская  	Урджарский	Маканчи	101	КазРВ	DigiCipher-II	DSR401		000-03427-01308-048	6154-4133-3010-100	Основной 					да	
	В-Казахстанская  	Урджарский	Маканчи	11	Хабар	DigiCipher-II	DSR205K		000-03454-59793-155	20194-7623-5007-978	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	В-Казахстанская  	Урджарский	Маканчи	103.6	Шалкар	DigiCipher-II	DSR205K		000-03454-60025-056	20194-7623-5007-725	Основной 					да	
	В-Казахстанская  	Урджарский	Маканчи	6	24Kz	DigiCipher-II	DSR205K		000-03454-60119-034	20194-7623-5002-447	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	В-Казахстанская  	Урджарский	Маканчи	5	Казахстан	DigiCipher-II	DSR205K		000-03454-56684-174	20194-7623-4007-238	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	В-Казахстанская  	Урджарский	Маканчи		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	В-Казахстанская  	Урджарский	Маканчи		1MUX	DVB S2	ProView 7100   				резерв						
	В-Казахстанская  	Жарминский	Малая Карасу	23	Казахстан	DigiCipher-II	DSR 402		000-03086-23624-211	7074-7407-2016-133	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет			
	В-Казахстанская  	Жарминский	Малая Карасу	6	Хабар	DigiCipher-II	DSR205K		000-03454-59357-244	20194-7623-4019-934	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Жарминский	Малая Карасу	2	24Kz	DigiCipher-II	DSR205K		000-03454-58059-120	20194-7623-5010-640	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Жарминский	Малая Карасу		1MUX	DVB-S2	ProView 7100   				Основной 						
